name,phone,carrier_type,city,state,latitude,longitude,reviews,rating,reviews_link,email_1,facebook,place_id,logo,working_hours,site,photos_count,created_at,site_status
Davidbrooks Plumbing and Heating and Air,+1 501-744-5403,mobile,North Little Rock,Arkansas,34.80200630,-92.19332260,26,4.80,"https://search.google.com/local/reviews?placeid=ChIJ5yg0GGi_0ocRT1CqBMsN7n0&q=plumber,+72202,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",info@americanplumbinghvac.com,https://www.facebook.com/AmericanPlumbingHVAC,ChIJ5yg0GGi_0ocRT1CqBMsN7n0,https://lh5.googleusercontent.com/-MQIm20ckLg8/AAAAAAAAAAI/AAAAAAAAAAA/PmTjOTxsAgY/s44-p-k-no-ns-nd/photo.jpg,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,8,Fri Jun 20 2025 11:06:07 GMT+0000 (Coordinated Universal Time),No Website
Central Arkansas Service Company,+1 501-307-1310,mobile,North Little Rock,Arkansas,34.83571150,-92.38199660,23,4.80,"https://search.google.com/local/reviews?placeid=ChIJMSX8KBSh0ocRwAiNCnxXP-8&q=plumber,+72206,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",brandon@centralarservice.com,,ChIJMSX8KBSh0ocRwAiNCnxXP-8,https://lh4.googleusercontent.com/-lNKimjOEIVk/AAAAAAAAAAI/AAAAAAAAAAA/2vuvOpsa1l4/s44-p-k-no-ns-nd/photo.jpg,"Monday: 7AM-6PM, Tuesday: 7AM-6PM, Wednesday: 7AM-6PM, Thursday: 7AM-6PM, Friday: 7AM-6PM, Saturday: 7AM-6PM, Sunday: 7AM-6PM",https://centralarservice.com/,6,Fri Jun 20 2025 11:06:08 GMT+0000 (Coordinated Universal Time),Up
Shaw Plumbing,+1 501-253-3578,mobile,,,34.80467390,-92.55115600,21,4.80,"https://search.google.com/local/reviews?placeid=ChIJX10rwMkbGmERCp12FyjKShM&q=plumber,+72207,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",sshaw@shawplumbing.org,,ChIJX10rwMkbGmERCp12FyjKShM,https://lh6.googleusercontent.com/-4Kdisqynz7s/AAAAAAAAAAI/AAAAAAAAAAA/1W7OoueKwBk/s44-p-k-no-ns-nd/photo.jpg,"Monday: 8AM-6PM, Tuesday: 8AM-6PM, Wednesday: 8AM-6PM, Thursday: 8AM-6PM, Friday: 8AM-6PM, Saturday: 8AM-6PM, Sunday: 8AM-6PM",http://shawplumbing.org/,10,Fri Jun 20 2025 11:06:10 GMT+0000 (Coordinated Universal Time),Up
Hall Plumbing,+1 501-888-2518,mobile,,,34.56789800,-92.35406150,3,4.70,,,,ChIJce2uq7ex0ocRn5c7USZoV6s,https://lh6.googleusercontent.com/-THxWgHYN0j4/AAAAAAAAAAI/AAAAAAAAAAA/bbR_7_k6zxU/s44-p-k-no-ns-nd/photo.jpg,"Monday: 7AM-4PM, Tuesday: 7AM-4PM, Wednesday: 7AM-4PM, Thursday: 7AM-4PM, Friday: 7AM-4PM, Saturday: Closed, Sunday: Closed",,,Fri Jun 20 2025 11:06:08 GMT+0000 (Coordinated Universal Time),No Website
"Rachal Facility Services, LLC",+1 501-350-6366,mobile,,,34.64618100,-92.52514660,10,4.60,"https://search.google.com/local/reviews?placeid=ChIJJ5PbvslqVK0RGSrWklXpswE&q=plumber,+72202,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",,,ChIJJ5PbvslqVK0RGSrWklXpswE,https://lh4.googleusercontent.com/-UqumtF8FJR0/AAAAAAAAAAI/AAAAAAAAAAA/2MZYV-76cAg/s44-p-k-no-ns-nd/photo.jpg,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM, Saturday: Closed, Sunday: Closed",,2,Fri Jun 20 2025 11:06:04 GMT+0000 (Coordinated Universal Time),No Website
E. Paul's Plumbing,+1 501-952-0934,mobile,Little Rock,Arkansas,34.75408560,-92.33484330,9,4.60,"https://search.google.com/local/reviews?placeid=ChIJOx27rn2j0ocR_6GaPEe1Hqo&q=plumber,+72201,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",,,ChIJOx27rn2j0ocR_6GaPEe1Hqo,https://lh4.googleusercontent.com/-MbIVDXlXYK0/AAAAAAAAAAI/AAAAAAAAAAA/YlkogPrjaHU/s44-p-k-no-ns-nd/photo.jpg,,,1,Fri Jun 20 2025 11:06:02 GMT+0000 (Coordinated Universal Time),No Website
Goff Plumbing & Sprinkler Co,+1 501-831-5179,mobile,North Little Rock,Arkansas,34.80380600,-92.24690800,8,4.50,"https://search.google.com/local/reviews?placeid=ChIJr5opmLa90ocRVnlUVa78faY&q=plumber,+72206,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",,,ChIJr5opmLa90ocRVnlUVa78faY,,,,3,Fri Jun 20 2025 11:06:08 GMT+0000 (Coordinated Universal Time),No Website
C&R Rooter,+1 501-455-0507,mobile,,,34.75201560,-92.12942800,8,4.50,"https://search.google.com/local/reviews?placeid=ChIJ16Fg--ao0ocRE964B_oct2M&q=plumber,+72206,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",crrooter@yahoo.com,https://www.facebook.com/CandRrooter/,ChIJ16Fg--ao0ocRE964B_oct2M,https://lh3.googleusercontent.com/-mzZK8QnyrSo/AAAAAAAAAAI/AAAAAAAAAAA/EfXD6FeHLSs/s44-p-k-no-ns-nd/photo.jpg,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",http://www.facebook.com/candrrooter,2,Fri Jun 20 2025 11:06:08 GMT+0000 (Coordinated Universal Time),Up
Premier Plumbing & Rooter,+1 501-231-0774,mobile,,,34.75201560,-92.12942800,4,4.50,,,,ChIJ6SaKjslZzYcRx0zGOiHD4bY,https://lh6.googleusercontent.com/-LNnmH8Bur8c/AAAAAAAAAAI/AAAAAAAAAAA/TBoYiLN2Vz8/s44-p-k-no-ns-nd/photo.jpg,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,Fri Jun 20 2025 11:06:10 GMT+0000 (Coordinated Universal Time),No Website
Joe Horton Jr Plumbing Inc,+1 501-834-5569,mobile,Sherwood,Arkansas,34.84094010,-92.23717260,13,4.40,"https://search.google.com/local/reviews?placeid=ChIJzfmYIva90ocRVfJI7PKdKJ4&q=plumber,+72206,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",,,ChIJzfmYIva90ocRVfJI7PKdKJ4,https://lh6.googleusercontent.com/-R9GGRaFpLAI/AAAAAAAAAAI/AAAAAAAAAAA/x_JfWYhurHw/s44-p-k-no-ns-nd/photo.jpg,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM, Saturday: Closed, Sunday: Closed",,1,Fri Jun 20 2025 11:06:08 GMT+0000 (Coordinated Universal Time),No Website
Maxson Plumbing and Drain Cleaning Inc.,+1 501-834-0600,mobile,,,34.86044300,-92.18838960,13,4.40,"https://search.google.com/local/reviews?placeid=ChIJdX1d_ei_0ocRBAwAlCfI6cI&q=plumber,+72206,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",,,ChIJdX1d_ei_0ocRBAwAlCfI6cI,https://lh6.googleusercontent.com/-UnEd291_z8o/AAAAAAAAAAI/AAAAAAAAAAA/F-MYeM2bdQU/s44-p-k-no-ns-nd/photo.jpg,"Monday: 8AM-6PM, Tuesday: 8AM-6PM, Wednesday: 8AM-6PM, Thursday: 8AM-6PM, Friday: 8AM-6PM, Saturday: Closed, Sunday: Closed",,4,Fri Jun 20 2025 11:06:08 GMT+0000 (Coordinated Universal Time),No Website
Coop's Plumbing Service,,,North Little Rock,Arkansas,34.82590520,-92.33571240,11,4.40,"https://search.google.com/local/reviews?placeid=ChIJq6pa546i0ocRPFx0BlVJZxY&q=plumber,+72202,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",,,ChIJq6pa546i0ocRPFx0BlVJZxY,,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Closed",,2,Fri Jun 20 2025 11:06:07 GMT+0000 (Coordinated Universal Time),No Website
Patriot Plumbing,,,,,34.83142900,-92.24741400,7,4.40,"https://search.google.com/local/reviews?placeid=ChIJZSlSR4i_0ocR1J74QrzMhME&q=plumber,+72206,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",,,ChIJZSlSR4i_0ocR1J74QrzMhME,https://lh3.googleusercontent.com/-voHuZp0FvjY/AAAAAAAAAAI/AAAAAAAAAAA/ywkTK91Pz_Y/s44-p-k-no-ns-nd/photo.jpg,"Monday: 7AM-6PM, Tuesday: 7AM-6PM, Wednesday: 7AM-6PM, Thursday: 7AM-6PM, Friday: 7AM-6PM, Saturday: 7AM-6PM, Sunday: 7AM-6PM",http://www.facebook.com/PatriotPlumbing1,13,Fri Jun 20 2025 11:06:08 GMT+0000 (Coordinated Universal Time),Up
Prestige Plumbing,+1 501-804-2582,mobile,,,34.59216700,-92.58139200,16,4.00,"https://search.google.com/local/reviews?placeid=ChIJ06BwnBJRzYcRHbN0bI1KRn8&q=plumber,+72210,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",perthprestigeplumbing@iinet.net.au,https://www.facebook.com/perthprestigeplumbing/,ChIJ06BwnBJRzYcRHbN0bI1KRn8,https://lh4.googleusercontent.com/--RGSq_xt25Q/AAAAAAAAAAI/AAAAAAAAAAA/szQ1YRggFpY/s44-p-k-no-ns-nd/photo.jpg,"Monday: 8AM-4:30PM, Tuesday: 8AM-4:30PM, Wednesday: 8AM-4:30PM, Thursday: 8AM-4:30PM, Friday: 8AM-4:30PM, Saturday: Closed, Sunday: Closed",,1,Fri Jun 20 2025 11:06:10 GMT+0000 (Coordinated Universal Time),No Website
Jackson Plumbing,+1 501-658-5130,mobile,,,34.75308850,-92.39245300,7,4.00,"https://search.google.com/local/reviews?placeid=ChIJebmDbbC90ocREnFBteePr8w&q=plumber,+72202,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",jacksonplumbingllc@yahoo.com,,ChIJebmDbbC90ocREnFBteePr8w,https://lh3.googleusercontent.com/-1Z0XQWqA1ZU/AAAAAAAAAAI/AAAAAAAAAAA/eIQHqHapWQg/s44-p-k-no-ns-nd/photo.jpg,"Monday: 7AM-4PM, Tuesday: 7AM-4PM, Wednesday: 7AM-4PM, Thursday: 7AM-4PM, Friday: 7AM-4PM, Saturday: Closed, Sunday: Closed",https://jacksonplumbingco.com/,3,Fri Jun 20 2025 11:06:07 GMT+0000 (Coordinated Universal Time),Down (406)
Sam's Plumbing,+1 501-412-1315,mobile,Hensley,Arkansas,34.54270250,-92.33368010,14,3.70,"https://search.google.com/local/reviews?placeid=ChIJ7Sq-azuy0ocRkxwJFMlraSw&q=plumber,+72206,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",samcrook330@yahoo.com,https://www.facebook.com/p/,ChIJ7Sq-azuy0ocRkxwJFMlraSw,https://lh4.googleusercontent.com/-HSz4A4ytN5s/AAAAAAAAAAI/AAAAAAAAAAA/ZoriJvks_NM/s44-p-k-no-ns-nd/photo.jpg,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",https://www.samsplumbingar.com/,162,Fri Jun 20 2025 11:06:08 GMT+0000 (Coordinated Universal Time),Down (404)
Web Matheny Plumbing,+1 501-766-0767,mobile,Maumelle,Arkansas,34.85824150,-92.40924250,13,3.50,"https://search.google.com/local/reviews?placeid=ChIJjRiSCG2f0ocRJTtlndQYNUA&q=plumber,+72222,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",,,ChIJjRiSCG2f0ocRJTtlndQYNUA,,"Monday: 7AM-5PM, Tuesday: 7AM-5PM, Wednesday: 7AM-5PM, Thursday: 7AM-5PM, Friday: 7AM-5PM, Saturday: Closed, Sunday: Closed",,1,Fri Jun 20 2025 11:06:11 GMT+0000 (Coordinated Universal Time),No Website
Chance Services & Plumbing Company,+1 501-412-1286,mobile,North Little Rock,Arkansas,34.79463860,-92.18576850,1,1.00,"https://search.google.com/local/reviews?placeid=ChIJ1wxBamK_0ocRxnHg4ylj23Q&q=plumber,+72206,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",,,ChIJ1wxBamK_0ocRxnHg4ylj23Q,https://lh4.googleusercontent.com/-RYtTJ6Z_iKI/AAAAAAAAAAI/AAAAAAAAAAA/xoKoopB6oxI/s44-p-k-no-ns-nd/photo.jpg,"Monday: 7:30AM-4:30PM, Tuesday: 7:30AM-4:30PM, Wednesday: 7:30AM-4:30PM, Thursday: 7:30AM-4:30PM, Friday: 7:30AM-4:30PM, Saturday: Closed, Sunday: Closed",,4,Fri Jun 20 2025 11:06:08 GMT+0000 (Coordinated Universal Time),No Website
Express Rooter,+1 501-744-4306,mobile,North Little Rock,Arkansas,34.80133100,-92.24171200,1,1.00,"https://search.google.com/local/reviews?placeid=ChIJk9pYRMq90ocR7ojXOuCM_FA&q=plumber,+72206,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",,,ChIJk9pYRMq90ocR7ojXOuCM_FA,,,,1,Fri Jun 20 2025 11:06:08 GMT+0000 (Coordinated Universal Time),No Website
